season,team,player_name
2025,GT,Noor Ahmad
2025,GT,Joshua Little
2025,GT,Alzarri Joseph
2025,GT,Yash Dayal
2025,GT,Darshan Nalkande
2025,GT,Matthew Wade
2025,LSG,KL Rahul
2025,LSG,Quinton de Kock
2025,LSG,Deepak Hooda
2025,LSG,Marcus Stoinis
2025,LSG,Nicholas Pooran
2025,LSG,Ayush Badoni
2025,LSG,Krunal Pandya
2025,LSG,Ravi Bishnoi
2025,LSG,Mark Wood
2025,LSG,Avesh Khan
2025,LSG,Mohsin Khan
2025,LSG,Kyle Mayers
2025,LSG,Yash Thakur
2025,LSG,Daniel Sams
2025,LSG,Prerak Mankad
